EXPORT DATE,HSN CODE,DESCRIPTION,EXPORTER NAME,EXPORTER ADDRESS,EXPORTER PIN,EXPORTER CITY,EXPORTER STATE,EXPORTER PHONE,EXPORTER EMAIL,IMPORTER NAME,Importer_Address,IMPORTER COUNTRY,UNIT,QUANTITY,CURRENCY,UNIT RATE,FOB INV VALUE,FOB IN USD,IMPORT PORT,EXPORT PORT,SHIPPING BILLNO
12/11/2025,20081100,PEANUT BUTTER (AS PER INV),MOTHER NUTRI FOODS  LIMITED,SURVEY NO 276 1 OPP PETROL PUMP MAHUVA BHVANAGAR ROAD,364290,MAHUVA,nan,nan,nan,AL AJWAD INTERNATIONAL GENERAL TRAD,nan,SOUTH AFRICA,KGS,1500.0,USD,16.5,24750.0,21212.73,Durban,MUNDRA SEA,6917877
12/11/2025,20081100,PEANUT BUTTER 1KG,SUPER NUTRI FOODS,1 RAJ COMPLEX BELOW HOTEL GURUKRUPA BHD OLD S T STAND,PIN-364290,"MAHUVA, DIST.BHAVNAGAR/GUJARAT",nan,nan,nan,HAMED A.KH. AL GHAMDI PARTNERSHIP C,nan,SAUDI ARABIA,KGS,18000.0,USD,1.78167,32070.06,31670.06,Dammam,MUNDRA SEA,6920224
12/11/2025,20081100,PEANUT BUTTER O/D AS PER INV PL,R M FOODS,SURVEY NO 171 PAIKEE 1 HARIPAR ROAD VILLEGE TAVEDA,PIN-364290,MAHUVA/GUJARAT,nan,nan,nan,SAME AS CONSIGNEE,nan,SOMAALIA,KGS,3264.0,USD,1.71569,5600.01,5295.79,Mogadishu,MUNDRA SEA,6917715
12/11/2025,20081100,PEANUT BUTTER O/D AS PER INV PL,R M FOODS,SURVEY NO 171 PAIKEE 1 HARIPAR ROAD VILLEGE TAVEDA,PIN-364290,MAHUVA/GUJARAT,nan,nan,nan,SAME AS CONSIGNEE,nan,SOMAALIA,KGS,14688.0,USD,1.63399,24000.05,22696.27,Mogadishu,MUNDRA SEA,6917715
12/11/2025,20081100,PEANUT BUTTER O/D AS PER INV PL,R M FOODS,SURVEY NO 171 PAIKEE 1 HARIPAR ROAD VILLEGE TAVEDA,PIN-364290,MAHUVA/GUJARAT,nan,nan,nan,SAME AS CONSIGNEE,nan,SOUTH AFRICA,KGS,11928.0,USD,1.51042,18016.29,17219.28,Cape Town,MUNDRA SEA,6908416
12/11/2025,20081100,PEANUT BUTTER O/D AS PER INV PL,R M FOODS,SURVEY NO 171 PAIKEE 1 HARIPAR ROAD VILLEGE TAVEDA,PIN-364290,MAHUVA/GUJARAT,nan,nan,nan,SAME AS CONSIGNEE,nan,SOUTH AFRICA,KGS,3840.0,USD,1.49792,5752.01,5497.55,Cape Town,MUNDRA SEA,6908416
12/11/2025,20081100,PEANUT BUTTER O/D AS PER INV PL,R M FOODS,SURVEY NO 171 PAIKEE 1 HARIPAR ROAD VILLEGE TAVEDA,PIN-364290,MAHUVA/GUJARAT,nan,nan,nan,SAME AS CONSIGNEE,nan,SOUTH AFRICA,KGS,9000.0,USD,1.69167,15225.03,14551.5,Cape Town,MUNDRA SEA,6908416
11/11/2025,20081100,PEANUT BUTTER O/D AS PER INV PL,R M FOODS,SURVEY NO 171 PAIKEE 1 HARIPAR ROAD VILLEGE TAVEDA,PIN-364290,MAHUVA/GUJARAT,nan,nan,nan,SAME AS CONSIGNEE,nan,AUSTRALIA,KGS,4896.0,USD,1.79739,8800.02,8391.55,Brisbane,MUNDRA SEA,6869110
11/11/2025,20081100,PEANUT BUTTER O/D AS PER INV PL,R M FOODS,SURVEY NO 171 PAIKEE 1 HARIPAR ROAD VILLEGE TAVEDA,PIN-364290,MAHUVA/GUJARAT,nan,nan,nan,SAME AS CONSIGNEE,nan,AUSTRALIA,KGS,9000.0,USD,1.75111,15759.99,15028.46,Brisbane,MUNDRA SEA,6869110
11/11/2025,20081100,PEANUT BUTTER (227G),SUPER NUTRI FOODS,1 RAJ COMPLEX BELOW HOTEL GURUKRUPA BHD OLD S T STAND,PIN-364290,"MAHUVA, DIST.BHAVNAGAR/GUJARAT",nan,nan,nan,ALNAFEA FOODS CO,"Cornich road, Jeddah, Saudi Arabia 23511",SAUDI ARABIA,KGS,14982.0,USD,1.92731,28874.96,28186.96,Jeddah,MUNDRA SEA,6868810
11/11/2025,20081993,CRISPY FRIED WHITE ONION KIBBLED (A GRAD E),B K DEHY FOODS,SURVEY NO 103 2 2 HARI PARA ROAD VILLAGE BHANVAD,PIN-364290,"MAHUVA,GUJARAT",nan,nan,nan,BFBV,nan,NETHERLANDS,MTS,6.01,USD,1800.0,10818.0,10339.59,Rotterdam,MUNDRA SEA,6865689
10/11/2025,20081100,PEANUT BUTTER (340G),SUPER NUTRI FOODS,1 RAJ COMPLEX BELOW HOTEL GURUKRUPA BHD OLD S T STAND,PIN-364290,"MAHUVA, DIST.BHAVNAGAR/GUJARAT",nan,nan,nan,ALNAFEA FOODS CO,"Cornich road, Jeddah, Saudi Arabia 23511",SAUDI ARABIA,KGS,15504.0,USD,1.91176,29639.93,28951.93,Jeddah,MUNDRA SEA,6833906
10/11/2025,20081100,PEANUT BUTTER (AS PER INV),MOTHER NUTRI FOODS  LIMITED,SURVEY NO 276 1 OPP PETROL PUMP MAHUVA BHVANAGAR ROAD,364290,MAHUVA,nan,nan,nan,AL AJWAD INTERNATIONAL GENERAL TRAD,nan,SOUTH AFRICA,KGS,3400.0,USD,8.4,28560.0,22360.0,Durban,MUNDRA SEA,6832412
09/11/2025,20081100,"DARK ROASTED MINCED PEANUT 2-4 MM LOT NO . SNB2526240 ,  25 KG VACUUM PACK IN BOX ES",SHREEJI NUT BUTTER,SURVEY NO 143 MAHUVA SAVARKUNDLA R OAD TAVEDA,PIN-364290,"MAHUVA,GUJARAT",nan,nan,nan,SBH I FZC,nan,OMAN,MTS,11.5,USD,1425.0,16387.5,16054.0,Sohar,MUNDRA SEA,6820456
08/11/2025,20081100,PEANUT BUTTER LOT NO. 2510581T PEANUT BU TTER - EXTRA CRUNCHY,RUPAREL FOODS PRIVATE LIMITED,43 INDUSTRIAL PLOT N A,PIN-364290,MAHUVA/GUJ.,nan,nan,nan,NATURAL SUGARS (NEW ZEALAND) LIMITE,nan,NEW ZEALAND,KGS,1386.0,USD,1.95556,2710.41,2710.41,Auckland,MUNDRA SEA,6815404
08/11/2025,20081100,PEANUT BUTTER LOT NO. 2510581T PEANUT BU TTER - SMOOTH,RUPAREL FOODS PRIVATE LIMITED,43 INDUSTRIAL PLOT N A,PIN-364290,MAHUVA/GUJ.,nan,nan,nan,NATURAL SUGARS (NEW ZEALAND) LIMITE,nan,NEW ZEALAND,KGS,6592.5,USD,1.95556,12892.03,12892.03,Auckland,MUNDRA SEA,6815404
08/11/2025,20081100,PEANUT BUTTER LOT NO. 2510581T PEANUT BU TTER - CRUNCHY,RUPAREL FOODS PRIVATE LIMITED,43 INDUSTRIAL PLOT N A,PIN-364290,MAHUVA/GUJ.,nan,nan,nan,NATURAL SUGARS (NEW ZEALAND) LIMITE,nan,NEW ZEALAND,KGS,5544.0,USD,1.95556,10841.62,10841.62,Auckland,MUNDRA SEA,6815404
08/11/2025,20081100,PEANUT BUTTER O/D AS PER INV PL,R M FOODS,SURVEY NO 171 PAIKEE 1 HARIPAR ROAD VILLEGE TAVEDA,PIN-364290,MAHUVA/GUJARAT,nan,nan,nan,SAME AS CONSIGNEE,nan,SINGAPORE,KGS,5140.8,USD,1.47059,7560.01,7560.01,Singapore,MUNDRA SEA,6815489
08/11/2025,20081100,PEANUT BUTTER LOT NO. 2510581T PEANUT BU TTER - SMOOTH NAS,RUPAREL FOODS PRIVATE LIMITED,43 INDUSTRIAL PLOT N A,PIN-364290,MAHUVA/GUJ.,nan,nan,nan,NATURAL SUGARS (NEW ZEALAND) LIMITE,nan,NEW ZEALAND,KGS,2772.0,USD,1.95556,5420.81,5420.81,Auckland,MUNDRA SEA,6815404
08/11/2025,20081100,PEANUT BUTTER LOT NO. 2510580T PEANUT BU TTER - SMOOTH,RUPAREL FOODS PRIVATE LIMITED,43 INDUSTRIAL PLOT N A,PIN-364290,MAHUVA/GUJ.,nan,nan,nan,NATURAL SUGARS (NEW ZEALAND) LIMITE,nan,NEW ZEALAND,KGS,12312.0,USD,1.825,22469.4,22469.4,Napier / HASTINGS,MUNDRA SEA,6813379
08/11/2025,20081100,PEANUT BUTTER O/D AS PER INV PL,R M FOODS,SURVEY NO 171 PAIKEE 1 HARIPAR ROAD VILLEGE TAVEDA,PIN-364290,MAHUVA/GUJARAT,nan,nan,nan,SAME AS CONSIGNEE,nan,SINGAPORE,KGS,6691.2,USD,1.47059,9840.01,9840.01,Singapore,MUNDRA SEA,6815489
